fichier	corpus	loc	utt	token	age	annee	nbx	sumx	nbsx	sumsx	FUT	COND	SUBJ	IMPF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj	x
./conllu_clan/Enfants_Long_louise_sow_4.3-4.7_louise1_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	50	10	4;03.04	4.25	10	3.300000	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	x
./conllu_clan/Enfants_Long_louise_sow_4.3-4.7_louise2_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	75	10	4;04.17	4.33333	10	4.000000	0	0	0	0	0	0	0	5	0	0	0	1	2	0	0	0	1	0	0	4	x
./conllu_clan/Enfants_Long_louise_sow_4.3-4.7_louise3_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	77	10	4;06.19	4.5	10	3.800000	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	x
./conllu_clan/Enfants_Long_louise_sow_4.3-4.7_louise4_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	93	12	4;07.09	4.58333	12	3.500000	0	0	0	0	0	0	3	3	0	0	0	0	0	1	4	0	0	0	0	1	x
./conllu_clan/Enfants_Long_louise_sow_4.3-4.7_louise5_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	91	10	4;07.16	4.58333	10	4.100000	0	0	0	0	0	0	2	3	0	0	1	0	0	1	0	0	0	1	0	8	x
./conllu_clan/Enfants_Long_louise_sow_4.3-4.7_louise6_sow.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	90	10	4;07.23	4.58333	10	4.800000	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	x
./conllu_clan/Enfants_Long_lucie_can_5.3-5.9_lucie1_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	122	10	5;03.16	5.25	10	5.200000	1	7.000000	0	0	0	1	6	6	0	0	1	0	0	1	0	0	0	0	0	1	x
./conllu_clan/Enfants_Long_lucie_can_5.3-5.9_lucie2_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	131	10	5;04.07	5.33333	10	4.700000	1	7.000000	0	0	0	0	4	5	0	0	0	0	1	2	0	0	0	0	1	1	x
./conllu_clan/Enfants_Long_lucie_can_5.3-5.9_lucie3_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	133	10	5;05.04	5.41667	10	4.900000	1	7.000000	0	0	0	0	0	12	0	0	0	0	1	1	0	0	0	1	0	3	x
./conllu_clan/Enfants_Long_lucie_can_5.3-5.9_lucie4_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	124	10	5;05.18	5.41667	10	4.700000	1	7.000000	0	0	0	0	2	6	0	0	0	0	1	1	0	0	1	0	0	2	x
./conllu_clan/Enfants_Long_lucie_can_5.3-5.9_lucie5_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	105	10	5;06.08	5.5	10	4.800000	1	7.000000	1	0	0	1	0	7	2	0	1	0	2	0	0	0	1	2	0	2	x
./conllu_clan/Enfants_Long_lucie_can_5.3-5.9_lucie6_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	126	11	5;07.08	5.58333	11	4.363636	0	0	0	1	0	0	1	11	1	0	1	0	2	0	1	0	3	0	0	2	x
./conllu_clan/Enfants_Long_lucie_can_5.3-5.9_lucie7_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	125	10	5;07.22	5.58333	10	4.900000	0	0	0	0	0	1	1	11	1	0	1	0	0	0	0	0	3	0	0	1	x
./conllu_clan/Enfants_Long_lucie_can_5.3-5.9_lucie8_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	128	10	5;09.10	5.75	10	5.100000	1	7.000000	0	0	0	0	1	6	0	0	3	0	0	1	0	0	5	0	0	3	x
