id_text;document;age_texte_age_min_text;age_texte_age_max_text;age_texte_age_moyen_text
164;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_1.38.txt;2.63;2.63;2.63
165;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_1.51.txt;2.51;2.51;2.51
166;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_1.62.txt;2.57;2.57;2.57
167;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_1.76.txt;2.74;2.74;2.74
168;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_1.85.txt;2.94;2.94;2.94
169;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_1.95.txt;3.06;3.06;3.06
170;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_2.08.txt;3.30;3.30;3.30
171;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_2.18.txt;3.52;3.52;3.52
172;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_2.26.txt;3.67;3.67;3.67
173;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_2.37.txt;3.63;3.63;3.63
174;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_2.45.txt;3.62;3.62;3.62
175;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_2.52.txt;3.72;3.72;3.72
176;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_2.6.txt;3.78;3.78;3.78
177;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_2.68.txt;3.75;3.75;3.75
178;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_2.79.txt;4.08;4.08;4.08
179;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_2.89.txt;4.04;4.04;4.04
180;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_2.97.txt;4.19;4.19;4.19
181;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_3.07.txt;4.12;4.12;4.12
182;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_3.25.txt;4.24;4.24;4.24
183;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_3.52.txt;4.10;4.10;4.10
184;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_3.77.txt;4.30;4.30;4.30
185;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_3.82.txt;4.38;4.38;4.38
186;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_4.15.txt;4.36;4.36;4.36
187;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_4.59.txt;4.49;4.49;4.49
188;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_4.84.txt;4.47;4.47;4.47
189;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_5.09.txt;4.54;4.54;4.54
