ét,154
personages,1
étoiles,140
raison,1313
choses,6785
marmottes,4
clowns,28
font,3443
tristes,31
retrouvent,87
cirque,122
venir,1371
emmène,252
cui,10
bouges,63
assis,715
regardent,155
télé,897
oscar,35
cafard,7
animé,147
police,325
papillon,345
abîmer,145
fragile,89
faisais,744
cube,77
construire,320
coquine,122
arriver,1096
bouge,628
resté,488
restaurant,323
carte,725
cubes,138
sors-les,2
difficile,1822
entier,125
refaire,373
modèle,209
chaque,1454
trait,108
tour,1373
géante,17
tombe,689
écrouler,10
écroules,1
aide,833
attends!,1
-le,228
noirs,183
achètes,60
trains,141
musique,1551
harmonica,12
boîte,726
touche,641
mettrai,44
prêterai,5
jamais,4841
secret,285
trouvera,47
fermera,3
toc@o,40
doit,2833
soigner,124
pommade,49
quarante-deux,40
docteur,404
tousse,104
vomis,9
lettre,1038
envoyer,248
courrier,200
soigne,54
oeils,4
médicament,64
donnes,963
donne-lui,6
boit,277
pourq,5
pansements,19
salu,1
salut,165
merveille,11
zouni,2
soignez,6
zin,2
colette,9
patricia,13
classe,1651
groupe,646
poils,94
harry,36
haricot,22
madame,1963
téléphoner,115
allo,491
anna,21
demander,1209
éteindre,127
zounian,2
sait,2335
disez,6
médicaments,83
oranges,55
pains,34
ramène,149
réparée,15
marchait,120
appuyais,2
rouges,268
verts,223
retrouvera,17
écrasé,57
décoinces,1
dormirai,2
adorée,3
livre,2360
ni,978
oui-oui,97
commencer,534
racontes,487
longue,176
hérisson,128
sucettes,30
choisit,113
mademoiselle,291
zizi,117
zézettes,1
zizis,3
lesquels,289
forts,198
avaient,1680
mammouths,3
zézette,10
-t-elle,24
mammouth,25
grimpe,63
risque,242
branche,173
zazie,27
maquillage,77
pourqu,4
couettes,35
orteil,11
sens,2085
max,76
nus,49
emmené,123
maillot,93
lis,658
lire,1568
allait,1229
recoiffe,3
pousser,372
jouet,211
ouvres,143
contente,489
retrouver,430
adore,657
pou,169
champignon,63
vrai,7531
fleur,490
couleurs,460
trompée,98
violet,245
popopopo,2
zazaza,1
pètes,8
zaza,10
accrocher,182
laurine,9
peste,17
enfonce,23
frites,102
bananes,115
légume,27
chips,73
apéro,65
passés,140
plats,124
gâteau,906
chauffer,160
tr,54
fruits,314
ramasse,186
surprises,25
couper,614
coupe,499
réchauffe,11
prendrez,21
mélanges,43
laver,564
morceau,412
manges,585
poulet,239
forte,279
moutarde,67
mangera,57
attendant,109
os,138
l'os,7
jette,259
-la,51
mangée,28
achète,380
sucrés,4
partirez,1
devinette,5
premier,1199
oh@i,56
remettre,579
ketchup,42
plaît,2045
ohlala@i,24
réfléchis,98
comp,19
langues,813
pendues,1
langue,2004
pendue,2
compliquée,40
t,607
renaud!,1
agace,98
savon,232
serai,256
entendu,1206
bouchais,2
rond,524
ailes,125
étiquette,129
tatouage,47
nénés,7
marque,203
essayer,1299
babybel,28
hop@o,35
eh@i,9
celui,5054
jeté,111
tire-bouchon,2
défait,109
bisou,637
prout@o,3
banane,402
coupes,91
mangent,324
gruyère,64
fromages,40
aiment,396
biscuits,40
moi!,1
-t'en,8
-t',20
file,110
fenêtre,403
ourson,82
crié,44
ouhla@i,7
devinettes,7
finis,222
lola,9
espagne,192
prince,197
ad,13
arrivé,1120
première,1511
celle-la,1
vacances,1695
tuen,1
accroche,200
couronne,160
pleuvoir,28
reine,164
secours,151
inquiétez,57
sauver,99
arriverai,13
découper,113
car,542
jeune,1145
sympa,750
singe,377
houpla,1
ouhla,33
animals,4
heu,385
lève,409
charmant,38
attrapez,3
roi,300
ouf,319
loin,2219
prisonnière,13
délivre,8
délivré,8
prison,161
délivrer,15
bats,81
battait,16
rentre,829
ramener,174
lâche-moi,3
cache,505
è,6
cachette,75
cachez,11
cacher,247
attaque,77
whou,4
caches,107
not,31
dé,283
ouvrez,22
carrote,1
faim,813
essuyer,125
jumelles,73
range,652
patate,77
feutre,123
dessiner,456
dernière,1850
réussir,182
tordu,19
lèvres,71
sourire,219
oreille,339
lecoq,4
tard,1050
grosses,391
yeux,1123
boucle,95
boucles,55
pis,405
s-,3481
normal,992
construiras,1
adorais,34
chats,388
écrire,1938
mot,1548
devoir,122
devoirs,309
pensé,374
co,205
ratés,2
maîtresse,491
laisser,743
assez,5146
pense,7482
jeux,488
perdu,894
espère,486
contre,2394
collées,7
chaus,3
lèvre,17
rentrera,15
restes,211
désolée,100
maïs,75
mie,30
santé,195
cuisinière,37
évitera,13
mensonges,15
rappelle,830
fessée,50
agaces,3
cause,624
suffit,542
appellait,14
marguerite,24
bleue,272
ro,9
aurore,19
app,14
choisis,149
daniel,33
mur,304
mer,636
croise,67
jambes,291
dring,64
réveille,205
réveille-toi,6
monstre,119
terrible,240
presque,1410
oui-oui.,1
fond,946
rammasser,1
sauveur,21
rangerai,8
fermes,180
pendant,2617
installer,209
carresser,3
griffe,33
griffée,7
promets,33
mordu,45
mordue,21
accroches,38
appeller,4
bengo,2
couché,101
pleut,217
piqûre,47
coeur,1287
retourne,328
gastro,10
piqûres,22
grippe,23
lève-toi,2
cache-cache,15
tasse,207
hum@i,57
bonnes,436
brûlantes,1
brûlée,6
sauf,723
aimerai,19
houla@i,3
courgette,23
croyais,363
courgettes,52
butinent,1
abeilles,122
recrache,8
pollen,13
enfin,26018
e,218
mâche,27
devient,373
bah@i,147
bouger,337
aujourd'hui,2193
croa@o,6
ah@i,52
piles,156
acheter,837
barbe-à-papa,2
hola@i,2
bague,50
personne,2352
sorcière,183
là-haut,455
ferait,222
combattre,17
balai,99
existe,1108
loup,835
pourrait,1156
vraiment,7566
amande,12
hem@i,2
pourrez,65
autoriser,4
thé,337
café,741
adulte,194
aurai,240
vendra,5
mettra,127
carton,289
sachet,28
jours,2304
restais,16
ap,77
au-dessus,316
baleine,146
arêtes,8
aurait,1450
pu,1130
découper!,1
piou@o,24
renard,210
attraperas,2
fée,117
mouches,79
chèvre,108
racler,8
propre,566
peau,248
délicieux,65
salé,35
croque,96
compote,206
aimerais,820
guirlande,19
bulles,186
nutella,66
grillé,16
éclatent,11
régler,63
endormie,39
tôt,451
ongle,22
sorc,1
soit,3889
matthieu,82
faux,255
gratter,36
chaude,177
fondre,48
dommage,441
stop,266
traces,91
laisses,269
salir,35
suite,1768
verte,321
courrait,6
attrappe,1
messieurs,139
disent,1134
trempez,25
culotte,257
tiroir,165
crottes,94
gipsy,47
gouttière,25
pluie,206
soleil,660
chassé,23
ayant,188
couvercle,86
habite,896
ha,736
habiter,281
adresse-de-chi,4
clermont,15
valérie,68
new-york,23
étudiants,820
rencontré,202
tourne,1159
devenue,78
boue,63
devenir,237
comprend,398
météo,30
déjeuner,284
afficher,10
écrit,1865
envers,377
coloriée,1
cherche,674
hopla,7
magnéto,11
flèche,48
appuie,487
ramenés,7
bouzou@f,3
trottinette,107
caprice,19
dodos,5
glaces,69
ouille@i,11
aïe@i,5
ouhlala@i,5
écris,724
stylo,1190
recomm,1
cheveux,923
histoire,2429
brigands,10
?.,1366
intéressera,10
brossée,1
brosser,38
enregistrer,168
toilette,66
ficelle,100
lirai,15
enregistré,119
chante,282
oeuf,354
germes,5
blé,96
bi,12
bibiche,5
puce,201
bec,100
prunier,7
robin,37
benjamin,63
prénom,523
attrappé,3
a.,265
semaine,1558
guérence,1
quart,534
allô,144
fil,348
blague,138
crue,20
voudrais,601
cruella,20
capturer,4
jasper,3
barbie,102
oubliée,24
d-,1353
magique,255
cool,240
ci,455
pourri,53
répète,107
marrons,27
six,2337
com,138
lignes,407
gris,208
beige,29
vi,30
vieu,1
pipi,785
plantes,426
rigolais,8
rosana,2
brosse,219
boudin,124
candice,13
can,20
yanis,18
candi,7
can-,1
prunette,1
après-demain,11
apr,14
fête,749
marianne,53
bol,186
semoule,16
dégueulasse,68
roulé,54
nem,4
soirée,330
thème,171
calin,9
applaudie,3
applaudit,14
adele,1
pignons,7
aimait,139
préfères,225
sucré,46
troisième,637
deuxième,1074
vomi,48
partait,126
sandrine,26
sylvain,50
portée,90
nettoyaient,1
rentrant,70
sortant,90
reculait,3
portail,23
voulu,711
invitera,9
léo,59
soir,2345
réveillon,11
léon,42
poste,499
poster,23
rififi,3
bête,484
clémentine,45
clé,320
clémentines,10
penses,700
beiges,5
éplucher,16
vaisselle,132
grondée,6
vaiselle,5
grondé,13
clément,48
laurianne,2
clémence,8
no,63
orage,70
ouhlalalalala,1
pull,161
blouson,16
bûches,12
soi,289
pan@o,19
ouïe,38
papounet,1
costaud,65
sport,793
cos,12
médaille,30
chasse,177
microbes,18
microbe,10
chasser,29
cellier,4
lapin,1182
chloé,65
distribuera,2
exprès,278
super,1859
punir,31
rémy,16
fâchés,6
couloir,80
quentin,24
puni,59
restée,240
rangée,37
léa,61
fume,60
cigarette,62
rizotto,3
poil,57
là-dedans,481
dada@c,4
an,1150
gaspard,83
gaga@c,3
riz,162
dés,50
-tu,107
capuchon,50
pointu,43
descendra,16
au,600
adel,8
soutien,76
maryse,4
finit,227
chewing-gum,10
skis,38
réparé,80
vilain,59
appareil,178
prochaine,499
mercredi,332
hans,16
morceaux,271
chacun,641
façon,3541
passionnant,70
taire,27
cantine,165
continue,653
hello,44
kitty,40
mathis,15
poussé,149
mathilde,44
figure,133
abîmée,49
saigner,11
cuillères,44
refroidir,23
bagarre,94
tue,82
semblant,113
couche,443
lily,66
paris,3764
reçu,268
b,439
version,70
enregistre,154
ratapomme@c,1
appelles,286
kinder,14
surprise,170
garder,547
dira,157
jumelle,8
jumeau,15
elsa,104
lisa,20
amoureuse,49
pommes,392
reinette,8
attrappée,2
per,37
perdre,249
équipe,436
sourcils,24
allais,914
irais,113
comprends,974
irai,179
crier,100
laissera,16
premières,219
laisseras,5
enzo,21
lucas,129
romain,32
amandine,17
bu,208
renversé,85
cartes,546
abîmées,9
tiré,103
invites,12
sacs,81
tiennent,98
encoches,3
queue-leu-leu,1
ravoir,9
quelque-chose,17
lourd,381
courageuse,10
ordinateur,533
allumé,79
escaliers,104
souhaits,49
pic-pic@f,2
dimanche,1095
saoûlante,2
saoûle,2
viendr,1
viendra,91
saint,335
carlos,6
coiffeuse,35
chanteuse,19
infirmière,107
sam,29
jeudi,288
mardi,262
lundi,424
appellerai,15
appellera,16
emma,166
crottin,11
étagère,44
entendra,16
peindre,25
tuyaux,27
caillou,60
enregistrés,13
neige,546
blanche,313
filets,16
brûle,92
numéro,300
pompiers,301
rue,2879
clermont-ferrand,29
titi,357
récupérer,169
promis,98
noisette,33
noisettes,17
jeter,260
négocier,34
ren,40
rendais,15
compte,1761
vernis,30
sauté,121
gant,82
polo,32
picasso,34
cherché,216
entendue,36
descendre,408
lever,182
grand-père,294
transformer,67
kwan,4
nager,189
espèce,378
sirène,82
bouton,255
tape,284
bracelet,76
sort,753
appuit,1
patronyme-de-mot,8
seins,18
aidée,29
maître,183
arrivés,336
vestiaires,4
xxx?,68
gardera,8
vendredi,369
voudrai,5
créneaux,32
vingt-cinq,379
frigo,154
lu,484
frapper,37
livres,1093
brossé,4
pendule,44
minuit,122
débrancher?,1
gratin,46
travail,4779
propres,200
danse,424
totoph,6
christophe,608
barcelone,13
joujou,7
guitares,6
rapporter,20
flan,21
nathalie,57
superman,8
victoire,27
parc,493
trampoline,18
coca,65
mangerai,22
zéro,311
spectacle,314
marches,167
saucisson,72
reins,15
épaules,47
alain,31
papy,291
jean,409
bains,79
salles,167
pressé,59
permission,27
pressée,25
tire,499
robe,370
jupe,66
devine,32
p@l,145
a@l,240
e@l,222
i.,24
r@l,86
s@l,83
quenelle,6
viendrez,14
pouet@o,40
cours,1628
quick,23
délicieuses,5
droite,879
savez,3681
contraire,486
gauche,1134
demie,563
ramenées,2
bas,1756
poum,163
heureusement,383
façons,330
égratinée,1
hyper,126
récréation,68
léa!,1
crocos,5
aimais,423
disait,942
gabin,10
sourit,49
comprendais,1
embrasser,28
laquelle,542
été,7731
fastoche,8
poing,24
cordes,38
choux-fleurs,6
choux,59
danseuses,5
serviette,189
repris,245
arrêtes,266
pablo,7
du.,1
saint-nectaire,6
cher,923
durtol,3
cahier,144
calendrier,49
crème,302
fraî,1
sucre,286
ti,21
mauvaises,101
trouvées,17
goût,224
goûte,84
arrête,1738
ding@o,13
reveux,35
toilettes,232
force,392
avaler,33
cadeaux,353
après-midi,558
éclaireraient,1
fin,1788
coup,3698
quenelles,6
restaurants,154
demandait,133
gare,501
journée,1508
radio,732
portait,26
escar,2
catastrophe,140
sers,215
soixante,580
quinze,1258
soixante-quinze,71
récu,3
nectaire,6
chinois,294
baguettes,37
chère,90
pète,33
trombonne,2
enregistrait,6
eue,68
aie,125
étiquettes,36
dépenser,34
dégoûtant,35
adios@sspa,5
amigos@sspa,5
espagnol,275
anglais,1699
bonbon,141
préféré,299
air,1077
crabes,33
minnie,34
mickey,182
ski,248
daisy,16
pâtée,3
midis,12
soirs,186
oubliais,10
amenait,19
obligé,713
graine,23
graines,73
nettoyer,206
aventure,56
piqué,71
devrais,144
saumon,38
pince,147
pareil,2793
moyen,491
babybels,2
tout?,1
bidon,59
chef,455
venue,406
ba,114
