fichier	dossier	loc	age	utt	token	FUT	CONJ	SUBJ	INF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	cest+que	ya+++qu	ya+qu	v+inf	dit+qu	plus+qu	proobj
../tcof/chi-trans-metaok/fantine1_mon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	4	384	2;01.09	0	0	0	1	2	19	5	0	0	0	1	1	0	0	0	0	0	0	0	4	
../tcof/chi-trans-metaok/florian1_sai.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	5	674	5;04.24	0	0	0	7	2	29	2	0	1	1	1	2	3	2	0	0	0	1	1	3	
../tcof/chi-trans-metaok/gabriel1_rez.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	9	766	4;02.12	0	0	0	15	4	61	9	0	3	0	0	2	3	1	0	0	0	1	0	4	
../tcof/chi-trans-metaok/gaelle1_bou.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	38	536	4;01.05	2	0	0	1	1	48	1	0	1	6	0	1	0	0	0	0	0	0	0	10	
../tcof/chi-trans-metaok/gaetan1_bau.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	3	265	5;03.17	0	0	0	0	4	30	0	0	0	1	1	1	1	1	0	0	0	0	0	2	
../tcof/chi-trans-metaok/guillaume1_pol.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	25	404	3;	0	0	0	0	0	19	4	0	0	0	1	1	1	1	1	1	0	0	0	5	
../tcof/chi-trans-metaok/heloise1_gue.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	35	547	2;01.06	0	0	0	2	1	24	9	0	6	0	1	6	15	12	2	0	0	0	0	0	
../tcof/chi-trans-metaok/hibraime1_ber.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	10	333	5;09.17	1	1	0	1	3	18	3	0	1	0	0	2	4	3	0	0	0	0	1	6	
../tcof/chi-trans-metaok/Hugo1_Hyp_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	3	660	4;07.05	0	0	0	40	2	67	7	0	3	2	1	10	2	1	0	0	0	1	0	6	
../tcof/chi-trans-metaok/ines1_hor.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	11	1678	5;01.05	12	5	0	13	17	140	3	0	4	5	18	11	4	3	3	0	0	3	1	11	
../tcof/chi-trans-metaok/Jeanne1_Dre_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	17	1635	3;10.23	8	4	0	25	12	181	25	0	6	2	4	12	4	1	3	0	0	2	2	10	
../tcof/chi-trans-metaok/jeanne1_hil.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	7	2228	5;08.11	3	1	0	7	29	130	10	0	6	5	3	18	6	0	8	0	0	1	2	22	
../tcof/chi-trans-metaok/jeremy1_pat.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	11	597	5;04.24	0	4	0	5	3	75	3	0	3	4	0	2	2	2	0	0	0	0	0	2	
../tcof/chi-trans-metaok/jessica1_cha.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	4	588	5;07.05	0	0	0	47	13	47	3	2	2	1	0	2	3	0	0	0	0	0	0	0	
../tcof/chi-trans-metaok/Joachim1_Alt_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	15	796	5;01.05	1	1	0	5	7	21	1	0	5	0	1	6	7	5	0	0	0	0	1	5	
../tcof/chi-trans-metaok/jonathan1_fra.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	10	546	3;01.09	3	3	0	13	1	34	2	0	1	0	3	0	1	0	0	0	0	0	0	5	
../tcof/chi-trans-metaok/jordan1_ton.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	9	512	2;09.17	0	0	0	0	1	14	9	0	1	0	0	0	1	1	0	0	0	0	0	3	
../tcof/chi-trans-metaok/Joseph1_Cla_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	0	1600	5;01.05	0	0	0	39	25	129	6	0	7	1	1	12	11	0	3	1	0	1	1	22	
../tcof/chi-trans-metaok/jules1_per.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	26	1596	3;04.23	0	2	0	3	15	118	6	0	1	2	0	4	3	3	2	0	0	0	0	3	
../tcof/chi-trans-metaok/juliette1_sto.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	9	1406	4;08.11	0	1	0	13	10	65	9	0	3	0	2	2	6	1	2	1	0	0	0	22	
../tcof/chi-trans-metaok/kelly1_ham.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	4	614	3;08.11	0	0	0	3	4	55	0	0	0	0	0	0	4	0	4	0	0	0	0	4	
../tcof/chi-trans-metaok/laura1_bah.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	10	806	4;07.05	2	0	0	11	4	64	0	0	4	2	1	1	2	0	0	0	0	1	0	7	
../tcof/chi-trans-metaok/laura1_can.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	19	226	2;10.23	0	0	0	7	0	16	2	0	0	0	0	1	9	9	0	0	0	0	0	1	
../tcof/chi-trans-metaok/laura1_llo.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	5	260	4;02.12	0	0	0	3	1	22	1	0	1	1	0	1	1	0	0	0	0	0	0	0	
../tcof/chi-trans-metaok/laureen1_gud.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	19	590	4;01.09	9	0	0	1	4	55	0	0	4	0	0	2	5	3	0	0	0	0	0	3	
../tcof/chi-trans-metaok/laurie1_jam.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	14	463	4;01.05	0	1	0	1	5	26	3	0	3	0	0	0	1	1	0	0	0	0	0	5	
../tcof/chi-trans-metaok/laurine1_car.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	17	1329	5;08.11	5	2	0	12	3	54	8	0	5	0	3	8	3	0	0	0	0	0	2	25	
../tcof/chi-trans-metaok/laurine1_gil.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	14	912	5;	3	3	0	3	7	65	6	1	1	1	2	3	10	4	0	0	0	1	0	16	
../tcof/chi-trans-metaok/laurine2_car.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	25	2720	5;08.11	21	6	0	12	12	166	14	1	8	2	6	20	4	1	2	2	0	2	2	52	
../tcof/chi-trans-metaok/leo1_par.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	2	1414	5;07.05	2	2	0	10	5	76	5	0	5	2	3	1	3	2	0	0	0	1	0	27	
