,sent_id,sentence,DiversitéLemmes,ProportionsVerbes,ProportionNoms,ProportionsAdjectif,ProportionClitiques,ProportionStopWords,ProportionSymboles,RapportPonctuationSurMots,ProportionAdvTemp,ProportionVerbeEtat,PropAddition,PropBut,PropCause,PropComparaison,PropConcession,PropConclusion,PropCondition,PropConsequence,PropEnumeration,PropExplication,PropIllustration,PropJustification,PropOpposition,PropRestriction,PropExclusion,PropTemps
27,27,"oui .
tiens là il y a encore un lit .",9,0.2222222222222222,0.1111111111111111,0.0,0.0,0.5555555555555556,3.4444444444444446,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,"le papa il ...
c'est le papa qui va promener ou la maman ?",10,0.15384615384615385,0.23076923076923078,0.0,0.0,0.6153846153846154,3.769230769230769,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,tiens la maman elle a les cheveux long la maman .,7,0.2,0.3,0.0,0.0,0.5,3.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,30,"le papa .
bah déjà faut savoir que le truc il roule .",2,0.0,0.5,0.0,0.0,0.5,3.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,"bah ouais c'est une poussette .
tatadata ah pardon !",11,0.0,0.2727272727272727,0.0,0.0,0.45454545454545453,4.181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,Viens on fait on continue de mettre tout et puis après on ira faire la promenade .,13,0.375,0.0625,0.0,0.0,0.1875,4.25,0.0625,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,"mais attend xxx oh c'est chiant .
han@o !",8,0.125,0.0,0.0,0.0,0.375,4.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
34,34,comment on met les bébés là dedans ?,7,0.14285714285714285,0.14285714285714285,0.0,0.0,0.5714285714285714,4.285714285714286,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,35,"ouais comme ça .
comment ça se met ?",6,0.14285714285714285,0.0,0.0,0.0,0.5714285714285714,4.428571428571429,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
36,36,allez il y en a un qui est en train de tomber .,11,0.25,0.08333333333333333,0.0,0.0,0.5,3.3333333333333335,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
